number	PRI.div.model	density	PRI.model	density	PRI.Psi	density	PRI.E.t	density	PRI.omega	density
1	1	0.0152114	1	21.4584	1	0.00990535	6.07246e-05	1.08754e-09	-1.6086e-16	14.0978
2	1.0446	0.0152759	1.0004	21.3677	1.0021	0.00990848	8.81722e-05	1.11683e-09	4.19607e-05	14.2304
3	1.08921	0.0153401	1.0008	21.2763	1.0042	0.00991114	0.00011562	1.14684e-09	8.39215e-05	14.3638
4	1.13381	0.015404	1.0012	21.1841	1.0063	0.00991335	0.000143067	1.17761e-09	0.000125882	14.4979
5	1.17842	0.0154674	1.0016	21.0914	1.0084	0.00991509	0.000170515	1.20915e-09	0.000167843	14.6328
6	1.22302	0.0155305	1.002	20.998	1.0105	0.00991638	0.000197963	1.24147e-09	0.000209804	14.7686
7	1.26763	0.0155932	1.0024	20.9039	1.0126	0.00991721	0.00022541	1.2746e-09	0.000251764	14.9051
8	1.31223	0.0156556	1.0028	20.8092	1.0147	0.00991759	0.000252858	1.30855e-09	0.000293725	15.0424
9	1.35684	0.0157175	1.0032	20.7139	1.0168	0.0099175	0.000280305	1.34335e-09	0.000335686	15.1804
10	1.40144	0.015779	1.0036	20.618	1.0189	0.00991697	0.000307753	1.379e-09	0.000377647	15.3193
11	1.44604	0.0158402	1.004	20.5215	1.021	0.00991597	0.000335201	1.41554e-09	0.000419607	15.4589
12	1.49065	0.0159009	1.0044	20.4245	1.0231	0.00991453	0.000362648	1.45297e-09	0.000461568	15.5993
13	1.53525	0.0159612	1.0048	20.3268	1.0252	0.00991263	0.000390096	1.49133e-09	0.000503529	15.7404
14	1.57986	0.0160211	1.0052	20.2287	1.0273	0.00991029	0.000417544	1.53063e-09	0.00054549	15.8824
15	1.62446	0.0160806	1.0056	20.13	1.0294	0.00990749	0.000444991	1.5709e-09	0.00058745	16.0251
16	1.66907	0.0161396	1.006	20.0307	1.0315	0.00990425	0.000472439	1.61214e-09	0.000629411	16.1686
17	1.71367	0.0161982	1.0064	19.931	1.0336	0.00990056	0.000499886	1.6544e-09	0.000671372	16.3128
18	1.75828	0.0162564	1.0068	19.8307	1.0357	0.00989643	0.000527334	1.69768e-09	0.000713333	16.4578
