what	PRI.div.model	PRI.model	PRI.Psi	PRI.E.t	PRI.omega
mode	6.0403	1	8.0063	0.0583869	0.0123365
mean	0.286002	0.259768	0.562693	0.214949	0.0314659
median	78.2111	1.02761	11.1969	0.058817	0.0128305
quantile_50_lower_bound	16.2754	1.0123	7.14024	0.0537627	0.00817563
quantile_50_upper_bound	211.845	1.04964	16.6403	0.0640527	0.0177076
quantile_90_lower_bound	3.9186	1.00215	3.69921	0.0465756	0.00264796
quantile_90_upper_bound	395.03	1.08892	20.9618	0.0720058	0.0249666
quantile_95_lower_bound	2.51886	1.00097	2.83642	0.0442045	0.0014879
quantile_95_upper_bound	420.541	1.10216	21.4928	0.0747419	0.0273829
quantile_99_lower_bound	1.30211	1.00003	1.62333	0.0394255	0.000321948
quantile_99_upper_bound	439.771	1.12437	21.9257	0.0802132	0.0321382
HPD_50_lower_bound	1	1	3.83527	0.0534189	0.00763687
HPD_50_upper_bound	78.2103	1.0276	22	0.0636568	0.017078
HPD_90_lower_bound	0.999999	1	2.93009	0.0462825	0.00142668
HPD_90_upper_bound	436.117	1.07361	22	0.0716715	0.0232882
HPD_95_lower_bound	0.999999	1	2.85658	0.0439495	1.24331e-08
HPD_95_upper_bound	438.882	1.08881	22	0.0744163	0.0249247
HPD_99_lower_bound	1	1	1.76658	0.0392559	1.11846e-08
HPD_99_upper_bound	441.781	1.11601	22	0.0800156	0.0301698
