num_of_div_events	estimated_prob	glm_adjusted_prob
1	0.1259	0.00401952097092
2	0.0495	0.0143570847567
3	0.038	0.0255313651466
4	0.0441	0.0475150751485
5	0.0412	0.0550322397674
6	0.0369	0.0635693488458
7	0.0412	0.0591618298715
8	0.0409	0.0702635155884
9	0.0398	0.0598520293387
10	0.044	0.0594453005314
11	0.0405	0.0549702201916
12	0.0435	0.0509027240046
13	0.0404	0.0461402266141
14	0.0388	0.04508723407
15	0.0419	0.0440243831086
16	0.0448	0.0457253234097
17	0.0407	0.0448904283993
18	0.0396	0.0459836862278
19	0.0402	0.044066652459
20	0.0459	0.0492021825007
21	0.0385	0.0453745169284
22	0.0437	0.0248851121201
