what	PRI.div.model	PRI.model	PRI.Psi	PRI.E.t	PRI.omega
mode	5.31613	4.9995	2.006	0.451929	0.48819
mean	0.119707	0.728957	0.140124	0.481274	0.258413
median	25.1305	5.01412	2.45178	0.466554	0.484289
quantile_50_lower_bound	9.04169	4.94149	1.985	0.432992	0.391483
quantile_50_upper_bound	68.1263	5.09732	3.68684	0.513859	0.556194
quantile_90_lower_bound	2.71206	4.84115	1.61465	0.369593	0.278961
quantile_90_upper_bound	175.812	6.00411	5.43784	0.573406	0.68729
quantile_95_lower_bound	1.87229	4.80838	1.50747	0.349307	0.244598
quantile_95_upper_bound	247.201	6.06833	6.143	0.593147	0.728825
quantile_99_lower_bound	1.16304	4.73909	1.30421	0.304443	0.169491
quantile_99_upper_bound	377.067	6.16266	7.38207	0.631159	0.799533
HPD_50_lower_bound	1	4.92389	1.59436	0.425894	0.375729
HPD_50_upper_bound	25.1368	5.07581	3.06871	0.519951	0.577677
HPD_90_lower_bound	1	4.79088	1.39694	0.369618	0.26642
HPD_90_upper_bound	177.04	6.0426	5.22772	0.573291	0.67272
HPD_95_lower_bound	1	4.77058	1.28773	0.350924	0.240297
HPD_95_upper_bound	250.33	6.10141	6.0174	0.594529	0.72404
HPD_99_lower_bound	1	4.71667	1.15121	0.306686	0.176934
HPD_99_upper_bound	386.979	6.19312	7.21032	0.633091	0.805559
