num_of_div_events	estimated_prob	glm_adjusted_prob
1	0.3468	0.0238771529638
2	0.1288	0.488771464873
3	0.0672	0.216452136739
4	0.044	0.137700936961
5	0.0335	0.0857601215085
6	0.0269	0.0307334826939
7	0.0251	0.0123315822625
8	0.0236	0.000766045637074
9	0.0236	0.00307382929958
10	0.0233	0.000183094181562
11	0.0231	0.000308393454589
12	0.0227	2.04321694948e-05
13	0.0231	2.62541016993e-07
14	0.0218	4.80737021602e-12
15	0.0208	8.92525008585e-12
16	0.0226	1.07166885458e-06
17	0.0212	1.91135595403e-05
18	0.0209	8.79464500298e-07
19	0.0204	5.1304895328e-12
20	0.0215	1.34365709401e-12
21	0.0197	9.86419310261e-13
22	0.0194	4.45995912044e-13
