what	PRI.div.model	PRI.model	PRI.Psi	PRI.E.t	PRI.omega
mode	7.10701	1	2.006	0.0741553	0.0116628
mean	0.188177	0.386029	0.450643	0.171305	0.089005
median	41.9104	1.17611	8.02215	0.0816514	0.0347513
quantile_50_lower_bound	13.9914	1.05247	3.58187	0.0678004	0.0161661
quantile_50_upper_bound	125.07	4.93091	14.9056	0.11244	0.348943
quantile_90_lower_bound	3.80369	1.00908	1.83868	0.051013	0.00332962
quantile_90_upper_bound	295.74	5.08804	20.6652	0.565835	0.630618
quantile_95_lower_bound	2.46225	1.00432	1.59363	0.0458569	0.00164024
quantile_95_upper_bound	349.664	5.13059	21.2562	0.592808	0.670159
quantile_99_lower_bound	1.29017	1.00058	1.11867	0.0359811	0.000256873
quantile_99_upper_bound	416.344	5.25092	21.896	0.641502	0.755578
HPD_50_lower_bound	1	0.999999	1.49773	0.0591293	6.76945e-09
HPD_50_upper_bound	41.8631	4.989	22	0.0900711	0.0348003
HPD_90_lower_bound	1	1	0.999995	0.0350038	-2.51816e-07
HPD_90_upper_bound	275.726	5.16262	22	0.594832	0.664781
HPD_95_lower_bound	1	1	0.999997	0.0312477	-1.04466e-07
HPD_95_upper_bound	361.942	5.19902	22	0.612922	0.68679
HPD_99_lower_bound	1	1	0.999999	0.0250214	-1.28878e-08
HPD_99_upper_bound	424.629	5.9747	22	0.653946	0.764103
