num_of_div_events	estimated_prob	glm_adjusted_prob
1	0.2055	0.0196995853616
2	0.0918	0.114134495806
3	0.06	0.110569424577
4	0.0483	0.0960775343742
5	0.039	0.0484124273243
6	0.0366	0.0441372926977
7	0.0358	0.0438508879031
8	0.0335	0.0433042026265
9	0.0301	0.0313079657926
10	0.0327	0.0334507484764
11	0.0344	0.037198730003
12	0.0344	0.0395774859934
13	0.0333	0.0411258983033
14	0.0347	0.0342290772625
15	0.0322	0.0346640515505
16	0.0306	0.0330088170711
17	0.0316	0.0366095976798
18	0.0302	0.0289342737622
19	0.0301	0.0355922978253
20	0.0343	0.0396778733176
21	0.0294	0.0361668132512
22	0.0315	0.0182705190403
